period,date,year,month,month_name,metric,sales_index,sector,yoy_growth_pct,period_group
2015 JAN,2015-01-01,2015,1,January,clothing_footwear_value_index,81.5,Clothing & Footwear,,Pre-pandemic
2015 FEB,2015-02-01,2015,2,February,clothing_footwear_value_index,83.2,Clothing & Footwear,,Pre-pandemic
2015 MAR,2015-03-01,2015,3,March,clothing_footwear_value_index,82.5,Clothing & Footwear,,Pre-pandemic
2015 APR,2015-04-01,2015,4,April,clothing_footwear_value_index,85.0,Clothing & Footwear,,Pre-pandemic
2015 MAY,2015-05-01,2015,5,May,clothing_footwear_value_index,83.0,Clothing & Footwear,,Pre-pandemic
2015 JUN,2015-06-01,2015,6,June,clothing_footwear_value_index,84.5,Clothing & Footwear,,Pre-pandemic
2015 JUL,2015-07-01,2015,7,July,clothing_footwear_value_index,82.0,Clothing & Footwear,,Pre-pandemic
2015 AUG,2015-08-01,2015,8,August,clothing_footwear_value_index,83.8,Clothing & Footwear,,Pre-pandemic
2015 SEP,2015-09-01,2015,9,September,clothing_footwear_value_index,82.3,Clothing & Footwear,,Pre-pandemic
2015 OCT,2015-10-01,2015,10,October,clothing_footwear_value_index,81.8,Clothing & Footwear,,Pre-pandemic
2015 NOV,2015-11-01,2015,11,November,clothing_footwear_value_index,82.2,Clothing & Footwear,,Pre-pandemic
2015 DEC,2015-12-01,2015,12,December,clothing_footwear_value_index,82.4,Clothing & Footwear,,Pre-pandemic
2016 JAN,2016-01-01,2016,1,January,clothing_footwear_value_index,81.3,Clothing & Footwear,-0.25,Pre-pandemic
2016 FEB,2016-02-01,2016,2,February,clothing_footwear_value_index,80.2,Clothing & Footwear,-3.61,Pre-pandemic
2016 MAR,2016-03-01,2016,3,March,clothing_footwear_value_index,78.0,Clothing & Footwear,-5.45,Pre-pandemic
2016 APR,2016-04-01,2016,4,April,clothing_footwear_value_index,79.5,Clothing & Footwear,-6.47,Pre-pandemic
2016 MAY,2016-05-01,2016,5,May,clothing_footwear_value_index,80.3,Clothing & Footwear,-3.25,Pre-pandemic
2016 JUN,2016-06-01,2016,6,June,clothing_footwear_value_index,79.2,Clothing & Footwear,-6.27,Pre-pandemic
2016 JUL,2016-07-01,2016,7,July,clothing_footwear_value_index,83.8,Clothing & Footwear,2.2,Pre-pandemic
2016 AUG,2016-08-01,2016,8,August,clothing_footwear_value_index,81.2,Clothing & Footwear,-3.1,Pre-pandemic
2016 SEP,2016-09-01,2016,9,September,clothing_footwear_value_index,79.9,Clothing & Footwear,-2.92,Pre-pandemic
2016 OCT,2016-10-01,2016,10,October,clothing_footwear_value_index,85.5,Clothing & Footwear,4.52,Pre-pandemic
2016 NOV,2016-11-01,2016,11,November,clothing_footwear_value_index,82.8,Clothing & Footwear,0.73,Pre-pandemic
2016 DEC,2016-12-01,2016,12,December,clothing_footwear_value_index,82.0,Clothing & Footwear,-0.49,Pre-pandemic
2017 JAN,2017-01-01,2017,1,January,clothing_footwear_value_index,83.4,Clothing & Footwear,2.58,Pre-pandemic
2017 FEB,2017-02-01,2017,2,February,clothing_footwear_value_index,84.5,Clothing & Footwear,5.36,Pre-pandemic
2017 MAR,2017-03-01,2017,3,March,clothing_footwear_value_index,86.2,Clothing & Footwear,10.51,Pre-pandemic
2017 APR,2017-04-01,2017,4,April,clothing_footwear_value_index,85.3,Clothing & Footwear,7.3,Pre-pandemic
2017 MAY,2017-05-01,2017,5,May,clothing_footwear_value_index,85.5,Clothing & Footwear,6.48,Pre-pandemic
2017 JUN,2017-06-01,2017,6,June,clothing_footwear_value_index,86.6,Clothing & Footwear,9.34,Pre-pandemic
2017 JUL,2017-07-01,2017,7,July,clothing_footwear_value_index,87.1,Clothing & Footwear,3.94,Pre-pandemic
2017 AUG,2017-08-01,2017,8,August,clothing_footwear_value_index,87.5,Clothing & Footwear,7.76,Pre-pandemic
2017 SEP,2017-09-01,2017,9,September,clothing_footwear_value_index,88.0,Clothing & Footwear,10.14,Pre-pandemic
2017 OCT,2017-10-01,2017,10,October,clothing_footwear_value_index,86.7,Clothing & Footwear,1.4,Pre-pandemic
2017 NOV,2017-11-01,2017,11,November,clothing_footwear_value_index,87.1,Clothing & Footwear,5.19,Pre-pandemic
2017 DEC,2017-12-01,2017,12,December,clothing_footwear_value_index,86.2,Clothing & Footwear,5.12,Pre-pandemic
2018 JAN,2018-01-01,2018,1,January,clothing_footwear_value_index,86.0,Clothing & Footwear,3.12,Pre-pandemic
2018 FEB,2018-02-01,2018,2,February,clothing_footwear_value_index,85.9,Clothing & Footwear,1.66,Pre-pandemic
2018 MAR,2018-03-01,2018,3,March,clothing_footwear_value_index,84.3,Clothing & Footwear,-2.2,Pre-pandemic
2018 APR,2018-04-01,2018,4,April,clothing_footwear_value_index,85.2,Clothing & Footwear,-0.12,Pre-pandemic
2018 MAY,2018-05-01,2018,5,May,clothing_footwear_value_index,87.7,Clothing & Footwear,2.57,Pre-pandemic
2018 JUN,2018-06-01,2018,6,June,clothing_footwear_value_index,87.2,Clothing & Footwear,0.69,Pre-pandemic
2018 JUL,2018-07-01,2018,7,July,clothing_footwear_value_index,88.8,Clothing & Footwear,1.95,Pre-pandemic
2018 AUG,2018-08-01,2018,8,August,clothing_footwear_value_index,86.9,Clothing & Footwear,-0.69,Pre-pandemic
2018 SEP,2018-09-01,2018,9,September,clothing_footwear_value_index,87.3,Clothing & Footwear,-0.8,Pre-pandemic
2018 OCT,2018-10-01,2018,10,October,clothing_footwear_value_index,86.8,Clothing & Footwear,0.12,Pre-pandemic
2018 NOV,2018-11-01,2018,11,November,clothing_footwear_value_index,87.9,Clothing & Footwear,0.92,Pre-pandemic
2018 DEC,2018-12-01,2018,12,December,clothing_footwear_value_index,89.1,Clothing & Footwear,3.36,Pre-pandemic
2019 JAN,2019-01-01,2019,1,January,clothing_footwear_value_index,88.9,Clothing & Footwear,3.37,Pre-pandemic
2019 FEB,2019-02-01,2019,2,February,clothing_footwear_value_index,88.5,Clothing & Footwear,3.03,Pre-pandemic
2019 MAR,2019-03-01,2019,3,March,clothing_footwear_value_index,89.7,Clothing & Footwear,6.41,Pre-pandemic
2019 APR,2019-04-01,2019,4,April,clothing_footwear_value_index,90.8,Clothing & Footwear,6.57,Pre-pandemic
2019 MAY,2019-05-01,2019,5,May,clothing_footwear_value_index,86.9,Clothing & Footwear,-0.91,Pre-pandemic
2019 JUN,2019-06-01,2019,6,June,clothing_footwear_value_index,90.0,Clothing & Footwear,3.21,Pre-pandemic
2019 JUL,2019-07-01,2019,7,July,clothing_footwear_value_index,90.5,Clothing & Footwear,1.91,Pre-pandemic
2019 AUG,2019-08-01,2019,8,August,clothing_footwear_value_index,89.4,Clothing & Footwear,2.88,Pre-pandemic
2019 SEP,2019-09-01,2019,9,September,clothing_footwear_value_index,89.2,Clothing & Footwear,2.18,Pre-pandemic
