period,date,year,month,month_name,all_retail_ex_fuel_value_index,all_retail_ex_fuel_volume_index,all_retail_inc_fuel_value_index,all_retail_inc_fuel_volume_index,food_stores_value_index,food_stores_volume_index,non_food_stores_value_index,non_food_stores_volume_index,clothing_footwear_value_index,clothing_footwear_volume_index,household_goods_value_index,household_goods_volume_index,non_store_retail_value_index,non_store_retail_volume_index,internet_sales_pct,internet_sales_million_gbp,average_weekly_sales_million_gbp
2015 JAN,2015-01-01,2015,1,January,72.9,90.4,73.2,91.6,75.3,98.0,80.9,95.8,81.5,96.4,85.1,106.1,42.0,51.9,12.8,750.9,5861.5
2015 FEB,2015-02-01,2015,2,February,73.2,91.1,72.9,91.7,75.0,98.0,82.2,97.9,83.2,99.0,84.9,106.3,41.2,51.1,11.7,691.0,5919.2
2015 MAR,2015-03-01,2015,3,March,73.2,91.3,73.3,91.8,75.2,98.2,81.8,97.5,82.5,98.5,88.0,110.4,42.2,52.5,11.7,727.7,6219.3
2015 APR,2015-04-01,2015,4,April,73.5,91.8,73.6,92.5,75.0,98.3,82.5,98.4,85.0,101.5,86.5,108.5,42.9,53.4,12.2,756.3,6223.6
2015 MAY,2015-05-01,2015,5,May,73.5,91.7,73.6,92.4,75.4,98.8,82.2,98.1,83.0,98.8,86.9,109.1,42.2,52.4,11.7,744.6,6369.5
2015 JUN,2015-06-01,2015,6,June,73.7,91.9,73.8,92.6,75.5,99.0,82.1,97.8,84.5,100.3,86.6,108.3,43.5,54.1,11.9,766.8,6422.7
2015 JUL,2015-07-01,2015,7,July,73.7,92.2,73.7,92.7,75.1,98.9,82.2,97.9,82.0,97.0,89.4,112.7,44.8,55.9,11.8,758.9,6442.4
2015 AUG,2015-08-01,2015,8,August,73.0,91.5,73.0,92.1,74.6,98.3,81.7,97.5,83.8,99.5,85.3,107.0,42.6,53.5,11.5,711.9,6189.0
2015 SEP,2015-09-01,2015,9,September,74.4,93.3,74.3,94.2,76.7,101.1,82.3,98.6,82.3,98.6,88.1,110.5,44.0,55.3,12.1,763.7,6323.2
2015 OCT,2015-10-01,2015,10,October,73.4,92.3,73.4,93.3,75.0,99.3,81.9,97.9,81.8,97.2,86.6,109.0,43.6,54.9,12.7,828.4,6538.7
2015 NOV,2015-11-01,2015,11,November,73.6,92.8,73.7,93.9,75.6,100.1,81.8,98.2,82.2,98.3,86.3,108.9,43.8,55.4,15.5,1137.7,7331.9
2015 DEC,2015-12-01,2015,12,December,73.5,93.1,73.5,94.1,75.8,100.8,81.6,98.5,82.4,98.2,86.9,109.9,42.9,54.5,14.1,1157.2,8223.3
2016 JAN,2016-01-01,2016,1,January,75.1,95.0,75.2,96.4,76.2,101.8,83.8,100.6,81.3,96.8,89.9,113.1,46.1,58.4,14.2,854.4,6003.6
2016 FEB,2016-02-01,2016,2,February,74.4,94.5,74.0,95.4,76.3,102.0,82.6,99.7,80.2,95.7,89.3,113.1,44.6,57.2,12.9,776.5,6017.3
2016 MAR,2016-03-01,2016,3,March,74.1,94.1,74.1,95.3,76.0,101.8,81.6,98.3,78.0,93.2,85.9,108.3,46.2,59.2,13.0,811.7,6231.0
2016 APR,2016-04-01,2016,4,April,74.7,95.0,74.6,95.9,75.8,101.6,83.5,100.7,79.5,95.2,86.3,109.1,45.8,58.6,13.5,854.0,6336.9
2016 MAY,2016-05-01,2016,5,May,75.5,96.2,75.5,97.1,76.3,102.4,83.7,101.4,80.3,96.5,88.6,112.5,49.1,62.8,13.6,890.5,6548.6
2016 JUN,2016-06-01,2016,6,June,74.9,95.2,74.9,96.1,76.1,102.1,82.5,99.7,79.2,95.2,86.0,109.4,48.8,61.9,13.9,898.5,6479.7
2016 JUL,2016-07-01,2016,7,July,76.3,97.0,76.4,97.9,76.4,102.5,85.5,103.2,83.8,100.4,88.8,112.8,49.2,62.2,13.4,894.2,6665.8
